STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
45 - Brendan,Spatial Augmented Reality Visibility and Line-of-Sight Cues for Building Design,Fuel Indicator,https://doi.org/10.1145/3489849.3489868,Visual,,,Symbolic,,,,2,Proprioceptive - Egocentric,Exocentric,,Persistent,,Position,,,Other,Operate,,Single,Overlaid,Building Design,Results show a preference and stronger results for the FI-based conditions versus the Edge and Baseline,"Visibility, Completion Time, Movement, Gaze, Mental Effort, SUS, & User Preference",Results show a preference and stronger results for the FI-based conditions versus the Edge and Baseline,30,,,
,,Edge Cue,,Visual,,,Symbolic,,,,2,Proprioceptive - Egocentric,Exocentric,,Persistent,Direction,Position,,,Other,Operate,,Single,Overlaid,Building Design,Results show a preference and stronger results for the FI-based conditions versus the Edge and Baseline,"Visibility, Completion Time, Movement, Gaze, Mental Effort, SUS, & User Preference","The results of a study showed that whilst Baseline leads to faster completion time with less overall movement, Baseline and Edge cue, performed worst for visibility, however Edge performing well otherwise",30,,,
46 - Brendan,The effect of tracking technique on the quality of user experience for augmented reality mobile navigation,,10.1007/s11042-017-4810-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 - Brendan,MRsive: An Augmented Reality Tool for Enhancing Wayfinding and Engagement with Art in Museums,Wayfinding Cues,https://openresearch.ocadu.ca/id/eprint/2496,Visual,,,Symbolic,,,,3,Exocentric,,,Persistent,Direction,Position,Proximity,,,Go,,Single,Integrated,Museum Wayfinding,"""The strongest responses were recorded for engagement cues, as participants spent significantly more time interacting with the artwork using MRsive compared to traditional methods. Participants highlighted surprise and immersion, especially through multisensory elements like audio and haptic feedback.""","User Preference, Interview, Accuracy, Ease-Of-Use",MRsive significantly reduced navigation time and improved accuracy compared to static wayfinding aids.,12,,,
,,Engagement Cues,,Visual,Auditory,,Symbolic,,,,3,Exocentric,,,Context,,,,,Other,Discover,,Single,Integrated,Museum Wayfinding,"""The strongest responses were recorded for engagement cues, as participants spent significantly more time interacting with the artwork using MRsive compared to traditional methods. Participants highlighted surprise and immersion, especially through multisensory elements like audio and haptic feedback.""","User Preference, Interview, Accuracy, Ease-Of-Use","Multisensory engagement (visual, auditory, haptic) enhanced the understanding and interaction with museum artifacts, with engagement times four times higher than traditional methods.",12,,,
48 - Brendan,Comparing Non-Visual and Visual Guidance Methods for Narrow Field of View Augmented Reality Displays,EyeSee360,10.1109/TVCG.2020.3023605,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,,Transition,,Discover,,Single,Overlaid,AR object localization and search tasks,"Audio-Tactile Guidance showed a significant improvement in situational awareness (SA) compared to EyeSee360. Although search times were shorter for EyeSee360, the audio-tactile approach performed equally well regarding the hit rate (accuracy in finding the target) and provided higher SA scores.","Performance Trade-offs, Situational Awareness, & Utility of sensory substitution",Faster with less situation awareness,16,,,
,,Audio-Tactile Guidance,,,Auditory,Tactile,Symbolic,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,Proximity,,,Discover,,Single,Subtle,AR object localization and search tasks,"Audio-Tactile Guidance showed a significant improvement in situational awareness (SA) compared to EyeSee360. Although search times were shorter for EyeSee360, the audio-tactile approach performed equally well regarding the hit rate (accuracy in finding the target) and provided higher SA scores.","Performance Trade-offs, Situational Awareness, & Utility of sensory substitution","Generally slower in search time, but there is improvement in situation awareness",16,,,
49 - Brendan,Locating nearby physical objects in augmented reality,Printed Map,https://doi.org/10.1145/3365610.3365620,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Locate Physical Objects in HMD AR,"In-View Visualization had the lowest error rates for object selection, indicating that it was the most accurate for identifying objects when they were within the field of view. However, it struggled with search times when objects were out of the user's immediate view.","User Performance, Search Time, Object Selection Accuracy, NASA-TLX, & User Preference","Interestingly, participants made the  most errors with the printed map, indicating how useful AR is for locating physical objects.",16,,,
,,In-View: 3D+Occlusion,,Visual,,,Emphatic,,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Emphasized,Locate Physical Objects in HMD AR,"In-View Visualization had the lowest error rates for object selection, indicating that it was the most accurate for identifying objects when they were within the field of view. However, it struggled with search times when objects were out of the user's immediate view.","User Performance, Search Time, Object Selection Accuracy, NASA-TLX, & User Preference",Our results show that in-view visualization reduces error rates for object selection accuracy,16,,,
,,Out-of-View: EyeSee360,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,Transition,,Operate,,Single,Overlaid,Locate Physical Objects in HMD AR,"In-View Visualization had the lowest error rates for object selection, indicating that it was the most accurate for identifying objects when they were within the field of view. However, it struggled with search times when objects were out of the user's immediate view.","User Performance, Search Time, Object Selection Accuracy, NASA-TLX, & User Preference",Out-of-view object visualization improves users’ search time performance.,16,,,
,,Combined,,Visual,,,Symbolic,Emphatic,,,2,Station Point - Egocentric,,,Persistent,,Position,,,,Operate,,Single,Overlaid,Locate Physical Objects in HMD AR,"In-View Visualization had the lowest error rates for object selection, indicating that it was the most accurate for identifying objects when they were within the field of view. However, it struggled with search times when objects were out of the user's immediate view.","User Performance, Search Time, Object Selection Accuracy, NASA-TLX, & User Preference","Combining in-view and out-of-view visualizations leads to visual clutter, which distracts users.",16,In the paper we will discuss as individual components ,,
50 - Brendan,FlyingARrow: Pointing Towards Out-of-View Objects on Augmented Reality Devices,EyeSee360,https://doi.org/10.1145/3205873.3205881,Visual,,,Symbolic,,,,2,Headcentric - Egocentric,Exocentric,,Persistent,Direction,Position,,Transition,,Discover,,Single,Overlaid,Locate Objects in HMD AR,FlyingARrow resulted in higher usability and lower workload,"SUS, RAW-TLX, Search Time, Direction Estimation",Had better search time and less direction error,12,,,
,,FlyingARrow,,Visual,Auditory,,Symbolic,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,Transition,Other,Discover,,Multiple,Integrated,Locate Objects in HMD AR,FlyingARrow resulted in higher usability and lower workload,"SUS, RAW-TLX, Search Time, Direction Estimation",Performed slightly worse with respect to search time and direction error.,12,,,
51 - Brendan,Quantitative evaluation of visual guidance effects for 360-degree directions,A Moving Window,10.1007/s10055-021-00574-7,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,,,,,Speak,,Single,Overlaid,Locate Objects in HMD VR,"These results suggest that the moving window and radiation are effective with respect to cognitive load, but the 3D arrow and radar are effective for guiding users’ attention to necessary items presented at the out-of-view.","Search Time, Eye Movement Data, & Recognition Data","The recognition times showed that the participants required short times to recognize the details of the moving window and radiation but long times for the 3D arrow, spherical gradation, and 3D radar.",30,,,
,,3D Arrow,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Speak,,Single,Integrated,Locate Objects in HMD VR,"These results suggest that the moving window and radiation are effective with respect to cognitive load, but the 3D arrow and radar are effective for guiding users’ attention to necessary items presented at the out-of-view.","Search Time, Eye Movement Data, & Recognition Data",The 3D arrow and radar shorten the search time for targets presented at the back of users,30,,,
,,Radiation,,Visual,,,Symbolic,,,,2,Exocentric,,,Persistent,Direction,Position,Proximity,,,Speak,,Single,Overlaid,Locate Objects in HMD VR,"These results suggest that the moving window and radiation are effective with respect to cognitive load, but the 3D arrow and radar are effective for guiding users’ attention to necessary items presented at the out-of-view.","Search Time, Eye Movement Data, & Recognition Data","The recognition times showed that the participants required short times to recognize the details of the moving window and radiation but long times for the 3D arrow, spherical gradation, and 3D radar.",30,,,
,,Spherical Gradation,,Visual,,,Symbolic,Emphatic,,,2,Exocentric,,,Persistent,Direction,,Proximity,,,Speak,,Single,Overlaid,Locate Objects in HMD VR,"These results suggest that the moving window and radiation are effective with respect to cognitive load, but the 3D arrow and radar are effective for guiding users’ attention to necessary items presented at the out-of-view.","Search Time, Eye Movement Data, & Recognition Data","The recognition times showed that the participants required short times to recognize the details of the moving window and radiation but long times for the 3D arrow, spherical gradation, and 3D radar.",30,,,
,,3D Radar,,Visual,,,Symbolic,,,,3,Exocentric,Bodycentric - Egocentric,,Persistent,Direction,,Proximity,,,Speak,,Single,Integrated,Locate Objects in HMD VR,"These results suggest that the moving window and radiation are effective with respect to cognitive load, but the 3D arrow and radar are effective for guiding users’ attention to necessary items presented at the out-of-view.","Search Time, Eye Movement Data, & Recognition Data",The 3D arrow and radar shorten the search time for targets presented at the back of users,30,,,
53 - Brendan,"Arrow, Bézier Curve, or Halos? – Comparing 3D Out-of-View Object Visualization Techniques for Handheld Augmented Reality",3D Arrow,10.1109/ISMAR55827.2022.00098,Visual,,,Symbolic,,,,3,Headcentric - Egocentric,Exocentric,,Persistent,Direction,,,,,Discover,,Single,Integrated,Locate Objects in Tablet AR,"Further comparison in a lab study reconfirms the benefits of the traditional 3D Arrow, but also reveals 3D Bezier   ́ Curve as an effective alternative, while our design of 3D Halos was less successful.","Search Time, NASA-TLX, User Preference","""Here preference ratings were in line with the case study in that 3D Arrow was superior to 3D Halos.""",24,,,
